CVCC , P1 , G39
CVCC , P1 , H40
FMC_GA0 , P1 , C34
FMC_GA1 , P1 , D35
FMC_LA07_N , P1 , H14
FMC_LA07_P , P1 , H13
FMC_LA11_N , P1 , H17
FMC_LA11_P , P1 , H16
FMC_SCL , P1 , C30
FMC_SDA , P1 , C31
FPGA_CDR_LOL , P1 , G12
FPGA_CDR_LOS , P1 , G13
FPGA_CLK_RST , P1 , G30
FPGA_SFP_LOS , P1 , D14
FPGA_SFP_TX_DIS , P1 , D17
FPGA_SFP_TX_FLT , P1 , D18
F_CDR_D_N , P1 , H8
F_CDR_D_P , P1 , H7
F_FMC_CLK_N , P1 , G7
F_FMC_CLK_P , P1 , G6
F_GPIO_OUT0_N , P1 , G10
F_GPIO_OUT0_P , P1 , G9
F_GPIO_OUT1_N , P1 , H23
F_GPIO_OUT1_P , P1 , H22
F_RJ45_D_N , P1 , G19
F_RJ45_D_P , P1 , G18
GND , P1 , A1
GND , P1 , A4
GND , P1 , A5
GND , P1 , A8
GND , P1 , A9
GND , P1 , A12
GND , P1 , A13
GND , P1 , A16
GND , P1 , A17
GND , P1 , A20
GND , P1 , A21
GND , P1 , A24
GND , P1 , A25
GND , P1 , A28
GND , P1 , A29
GND , P1 , A32
GND , P1 , A33
GND , P1 , A36
GND , P1 , A37
GND , P1 , A40
GND , P1 , B2
GND , P1 , B3
GND , P1 , B6
GND , P1 , B7
GND , P1 , B10
GND , P1 , B11
GND , P1 , B14
GND , P1 , B15
GND , P1 , B18
GND , P1 , B19
GND , P1 , B22
GND , P1 , B23
GND , P1 , B26
GND , P1 , B27
GND , P1 , B30
GND , P1 , B31
GND , P1 , B34
GND , P1 , B35
GND , P1 , B38
GND , P1 , B39
GND , P1 , C1
GND , P1 , C4
GND , P1 , C5
GND , P1 , C8
GND , P1 , C9
GND , P1 , C12
GND , P1 , C13
GND , P1 , C16
GND , P1 , C17
GND , P1 , C20
GND , P1 , C21
GND , P1 , C24
GND , P1 , C25
GND , P1 , C28
GND , P1 , C29
GND , P1 , C32
GND , P1 , C33
GND , P1 , C36
GND , P1 , C38
GND , P1 , C40
GND , P1 , D2
GND , P1 , D3
GND , P1 , D6
GND , P1 , D7
GND , P1 , D10
GND , P1 , D13
GND , P1 , D16
GND , P1 , D19
GND , P1 , D22
GND , P1 , D25
GND , P1 , D28
GND , P1 , D37
GND , P1 , D39
GND , P1 , E1
GND , P1 , E4
GND , P1 , E5
GND , P1 , E8
GND , P1 , E11
GND , P1 , E14
GND , P1 , E17
GND , P1 , E20
GND , P1 , E23
GND , P1 , E26
GND , P1 , E29
GND , P1 , E32
GND , P1 , E35
GND , P1 , E38
GND , P1 , E40
GND , P1 , F2
GND , P1 , F3
GND , P1 , F6
GND , P1 , F9
GND , P1 , F12
GND , P1 , F15
GND , P1 , F18
GND , P1 , F21
GND , P1 , F24
GND , P1 , F27
GND , P1 , F30
GND , P1 , F33
GND , P1 , F36
GND , P1 , F39
GND , P1 , G1
GND , P1 , G4
GND , P1 , G5
GND , P1 , G8
GND , P1 , G11
GND , P1 , G14
GND , P1 , G17
GND , P1 , G20
GND , P1 , G23
GND , P1 , G26
GND , P1 , G29
GND , P1 , G32
GND , P1 , G35
GND , P1 , G38
GND , P1 , G40
GND , P1 , H2
GND , P1 , H3
GND , P1 , H6
GND , P1 , H9
GND , P1 , H12
GND , P1 , H15
GND , P1 , H18
GND , P1 , H21
GND , P1 , H24
GND , P1 , H27
GND , P1 , H30
GND , P1 , H33
GND , P1 , H36
GND , P1 , H39
GND , P1 , J1
GND , P1 , J4
GND , P1 , J5
GND , P1 , J8
GND , P1 , J11
GND , P1 , J14
GND , P1 , J17
GND , P1 , J20
GND , P1 , J23
GND , P1 , J26
GND , P1 , J29
GND , P1 , J32
GND , P1 , J35
GND , P1 , J38
GND , P1 , J40
GND , P1 , K2
GND , P1 , K3
GND , P1 , K6
GND , P1 , K9
GND , P1 , K12
GND , P1 , K15
GND , P1 , K18
GND , P1 , K21
GND , P1 , K24
GND , P1 , K27
GND , P1 , K30
GND , P1 , K33
GND , P1 , K36
GND , P1 , K39
GPIO_IN0_N , P1 , C11
GPIO_IN0_P , P1 , C10
GPIO_IN1_N , P1 , D12
GPIO_IN1_P , P1 , D11
P12V , P1 , C35
P12V , P1 , C37
P3V3 , P1 , C39
P3V3 , P1 , D36
P3V3 , P1 , D38
P3V3 , P1 , D40
T_FFD_D_N , P1 , G22
T_FFD_D_P , P1 , G21
T_FMC_CLK_N , P1 , H5
T_FMC_CLK_P , P1 , H4
T_FMC_N , P1 , H26
T_FMC_P , P1 , H25
T_FMC_REC_CLK_N , P1 , G3
T_FMC_REC_CLK_P , P1 , G2
T_RJ45_D_N , P1 , H29
T_RJ45_D_P , P1 , H28
UNNAMED_2_CON400P40ABCDEFGHJK_I , P1 , D30
UNNAMED_2_CON400P40ABCDEFGHJK_I , P1 , D31
